state,visited
Alabama,0
Alaska,1
Arkansas,0
Arizona,0
California,0
Colorado,0
Connecticut,0
Delaware,1
Florida,0
Georgia,3
Hawaii,0
Iowa,3
Idaho,0
Illinois,2
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,2
Michigan,2
Minnesota,0
Missouri,2
Mississippi,0
Montana,1
North Carolina,2
North Dakota,1
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
New York,0
Ohio,2
Oklahoma,0
Oregon,0
Pennsylvania,3
Rhode Island,2
South Carolina,0
South Dakota,1
Tennessee,0
Texas,2
Utah,2
Virginia,2
Vermont,1
Washington,0
Wisconsin,2
West Virginia,0
Wyoming,1
